Data;Ora;Temperatura_Celsius;Umidità_relativa(%)
﻿20-12-2024;02:19;19.5;35
﻿20-12-2024;02:20;19.5;35
﻿20-12-2024;02:21;19.5;35
﻿20-12-2024;02:22;19.5;35
﻿20-12-2024;02:23;19.5;35
﻿20-12-2024;02:24;19.5;35
﻿20-12-2024;02:25;19.5;35
﻿20-12-2024;02:26;19.5;35
﻿20-12-2024;02:27;19.5;35
﻿20-12-2024;02:28;19.5;35
﻿20-12-2024;02:29;19.5;35
﻿20-12-2024;02:30;19.5;35
﻿20-12-2024;02:31;19.5;35
﻿20-12-2024;02:32;19.5;35
﻿20-12-2024;02:33;19.5;35
﻿20-12-2024;02:34;19.5;35
﻿20-12-2024;02:35;19.6;34
﻿20-12-2024;02:36;19.5;34
﻿20-12-2024;02:37;19.5;34
﻿20-12-2024;02:38;19.5;34
﻿20-12-2024;02:39;19.5;34
﻿20-12-2024;02:40;19.5;34
﻿20-12-2024;02:41;19.5;34
﻿20-12-2024;02:42;19.5;34
﻿20-12-2024;02:43;19.5;34
﻿20-12-2024;02:44;19.5;34
﻿20-12-2024;02:45;19.5;34
﻿20-12-2024;02:46;19.5;32
﻿20-12-2024;02:47;19.5;34
﻿20-12-2024;02:48;19.5;34
﻿20-12-2024;02:49;19.5;34
﻿20-12-2024;02:50;19.5;32
﻿20-12-2024;02:51;19.5;32
﻿20-12-2024;02:52;19.5;32
﻿20-12-2024;02:53;19.5;32
﻿20-12-2024;02:54;19.5;32
﻿20-12-2024;02:55;19.5;32
﻿20-12-2024;02:56;19.5;32
﻿20-12-2024;02:57;19.5;32
﻿20-12-2024;02:58;19.5;32
﻿20-12-2024;02:59;19.5;32
﻿20-12-2024;03:00;19.5;32
﻿20-12-2024;03:01;19.5;32
﻿20-12-2024;03:02;19.5;32
﻿20-12-2024;03:03;19.5;32
﻿20-12-2024;03:04;19.5;32
﻿20-12-2024;03:05;19.5;32
﻿20-12-2024;03:06;19.5;32
﻿20-12-2024;03:07;19.5;32
﻿20-12-2024;03:08;19.5;31
﻿20-12-2024;03:09;19.5;31
﻿20-12-2024;03:10;19.5;31
﻿20-12-2024;03:11;19.5;31
﻿20-12-2024;03:12;19.5;31
﻿20-12-2024;03:13;19.5;31
﻿20-12-2024;03:14;19.5;31
﻿20-12-2024;03:15;19.5;31
﻿20-12-2024;03:16;19.5;30
﻿20-12-2024;03:17;19.5;31
﻿20-12-2024;03:18;19.5;31
﻿20-12-2024;03:19;19.5;31
﻿20-12-2024;03:20;19.5;31
﻿20-12-2024;03:21;19.5;31
﻿20-12-2024;03:22;19.5;31
﻿20-12-2024;03:23;19.5;31
﻿20-12-2024;03:24;19.5;31
﻿20-12-2024;03:25;19.6;31
﻿20-12-2024;03:26;19.6;31
﻿20-12-2024;03:27;19.5;30
﻿20-12-2024;03:28;19.6;30
﻿20-12-2024;03:29;19.6;30
﻿20-12-2024;03:30;19.6;30
﻿20-12-2024;03:31;19.6;30
﻿20-12-2024;03:32;19.6;30
﻿20-12-2024;03:33;19.6;30
﻿20-12-2024;03:34;19.6;30
﻿20-12-2024;03:35;19.5;30
﻿20-12-2024;03:36;19.6;29
﻿20-12-2024;03:37;19.6;30
﻿20-12-2024;03:38;19.6;30
﻿20-12-2024;03:39;19.6;30
﻿20-12-2024;03:40;19.6;30
﻿20-12-2024;03:41;19.5;30
﻿20-12-2024;03:42;19.6;30
﻿20-12-2024;03:43;19.6;30
﻿20-12-2024;03:44;19.6;30
﻿20-12-2024;03:45;19.6;30
﻿20-12-2024;03:46;19.6;30
﻿20-12-2024;03:47;19.5;30
﻿20-12-2024;03:48;19.5;29
﻿20-12-2024;03:49;19.6;29
﻿20-12-2024;03:50;19.6;29
﻿20-12-2024;03:51;19.5;29
﻿20-12-2024;03:52;19.5;29
﻿20-12-2024;03:53;19.6;29
﻿20-12-2024;03:54;19.5;29
﻿20-12-2024;03:55;19.5;29
﻿20-12-2024;03:56;19.5;29
﻿20-12-2024;03:57;19.5;29
﻿20-12-2024;03:58;19.5;26
﻿20-12-2024;03:59;19.5;29
﻿20-12-2024;04:00;19.5;29
﻿20-12-2024;04:01;19.5;29
﻿20-12-2024;04:02;19.5;29
﻿20-12-2024;04:03;19.5;29
﻿20-12-2024;04:04;19.5;29
﻿20-12-2024;04:05;19.5;29
﻿20-12-2024;04:06;19.5;29
﻿20-12-2024;04:07;19.5;29
﻿20-12-2024;04:08;19.5;29
﻿20-12-2024;04:09;19.5;27
﻿20-12-2024;04:10;19.5;27
﻿20-12-2024;04:11;19.4;26
﻿20-12-2024;04:12;19.5;27
﻿20-12-2024;04:13;19.5;26
﻿20-12-2024;04:14;19.5;27
﻿20-12-2024;04:15;19.5;27
﻿20-12-2024;04:16;19.5;25
﻿20-12-2024;04:17;19.5;27
﻿20-12-2024;04:18;19.5;27
﻿20-12-2024;04:19;19.5;27
﻿20-12-2024;04:20;19.5;27
﻿20-12-2024;04:21;19.5;27
﻿20-12-2024;04:22;19.5;27
﻿20-12-2024;04:23;19.5;26
﻿20-12-2024;04:24;19.5;27
﻿20-12-2024;04:25;19.5;27
﻿20-12-2024;04:26;19.5;27
﻿20-12-2024;04:27;19.4;26
﻿20-12-2024;04:28;19.5;27
﻿20-12-2024;04:29;19.5;27
﻿20-12-2024;04:30;19.5;25
﻿20-12-2024;04:31;19.5;25
﻿20-12-2024;04:32;19.5;25
﻿20-12-2024;04:33;19.5;25
﻿20-12-2024;04:34;19.5;25
﻿20-12-2024;04:35;19.5;25
﻿20-12-2024;04:36;19.5;25
﻿20-12-2024;04:37;19.5;25
﻿20-12-2024;04:38;19.5;25
﻿20-12-2024;04:39;19.5;25
﻿20-12-2024;04:40;19.5;25
﻿20-12-2024;04:41;19.5;25
﻿20-12-2024;04:42;19.5;25
﻿20-12-2024;04:43;19.5;25
﻿20-12-2024;04:44;19.6;25
﻿20-12-2024;04:45;19.6;25
﻿20-12-2024;04:46;19.5;25
﻿20-12-2024;04:47;19.5;25
﻿20-12-2024;04:48;19.5;25
﻿20-12-2024;04:49;19.5;25
﻿20-12-2024;04:50;19.6;20
﻿20-12-2024;04:51;19.6;25
﻿20-12-2024;04:52;19.5;25
﻿20-12-2024;04:53;19.6;20
﻿20-12-2024;04:54;19.6;20
﻿20-12-2024;04:55;19.6;20
﻿20-12-2024;04:56;19.6;20
﻿20-12-2024;04:57;19.6;20
﻿20-12-2024;04:58;19.6;25
﻿20-12-2024;04:59;19.5;20
﻿20-12-2024;05:00;19.5;25
﻿20-12-2024;05:01;19.5;25
﻿20-12-2024;05:02;19.5;25
﻿20-12-2024;05:03;19.5;25
﻿20-12-2024;05:04;19.5;25
﻿20-12-2024;05:05;19.5;25
﻿20-12-2024;05:06;19.5;25
﻿20-12-2024;05:07;19.5;25
﻿20-12-2024;05:08;19.5;25
﻿20-12-2024;05:09;19.5;25
﻿20-12-2024;05:10;19.5;25
﻿20-12-2024;05:11;19.5;25
﻿20-12-2024;05:12;19.5;25
﻿20-12-2024;05:13;19.5;25
﻿20-12-2024;05:14;19.5;25
﻿20-12-2024;05:15;19.5;25
﻿20-12-2024;05:16;19.5;25
﻿20-12-2024;05:17;19.5;25
﻿20-12-2024;05:18;19.5;25
﻿20-12-2024;05:19;19.5;25
﻿20-12-2024;05:20;19.5;25
﻿20-12-2024;05:21;19.5;25
﻿20-12-2024;05:22;19.5;20
﻿20-12-2024;05:23;19.5;20
﻿20-12-2024;05:24;19.5;20
﻿20-12-2024;05:25;19.5;20
﻿20-12-2024;05:26;19.5;20
﻿20-12-2024;05:27;19.5;20
﻿20-12-2024;05:28;19.6;20
﻿20-12-2024;05:29;19.6;20
﻿20-12-2024;05:30;19.6;20
﻿20-12-2024;05:31;19.6;20
﻿20-12-2024;05:32;19.6;20
﻿20-12-2024;05:33;19.5;20
﻿20-12-2024;05:34;19.5;20
﻿20-12-2024;05:35;19.5;20
﻿20-12-2024;05:36;19.6;20
﻿20-12-2024;05:37;19.6;20
﻿20-12-2024;05:38;19.6;20
﻿20-12-2024;05:39;19.6;20
﻿20-12-2024;05:40;19.5;20
﻿20-12-2024;05:41;19.6;20
﻿20-12-2024;05:42;19.6;20
﻿20-12-2024;05:43;19.6;20
﻿20-12-2024;05:44;19.6;20
﻿20-12-2024;05:45;19.5;20
﻿20-12-2024;05:46;19.6;20
﻿20-12-2024;05:47;19.6;20
﻿20-12-2024;05:48;19.6;20
﻿20-12-2024;05:49;19.6;20
﻿20-12-2024;05:50;19.5;10
﻿20-12-2024;05:51;19.5;10
﻿20-12-2024;05:52;19.6;10
﻿20-12-2024;05:53;19.6;10
﻿20-12-2024;05:54;19.6;20
﻿20-12-2024;05:55;19.6;10
﻿20-12-2024;05:56;19.6;20
﻿20-12-2024;05:57;19.6;10
﻿20-12-2024;05:58;19.5;20
﻿20-12-2024;05:59;19.5;10
﻿20-12-2024;06:00;19.6;10
﻿20-12-2024;06:01;19.5;20
﻿20-12-2024;06:02;19.6;20
﻿20-12-2024;06:03;19.6;20
﻿20-12-2024;06:04;19.5;20
﻿20-12-2024;06:05;19.6;20
﻿20-12-2024;06:06;19.6;20
﻿20-12-2024;06:07;19.6;20
﻿20-12-2024;06:08;19.6;20
﻿20-12-2024;06:09;19.6;20
﻿20-12-2024;06:10;19.6;20
﻿20-12-2024;06:11;19.6;20
﻿20-12-2024;06:12;19.6;20
﻿20-12-2024;06:13;19.6;20
﻿20-12-2024;06:14;19.6;20
﻿20-12-2024;06:15;19.5;20
﻿20-12-2024;06:16;19.6;20
﻿20-12-2024;06:17;19.6;20
﻿20-12-2024;06:18;19.6;20
﻿20-12-2024;06:19;19.6;20
﻿20-12-2024;06:20;19.6;20
﻿20-12-2024;06:21;19.6;20
﻿20-12-2024;06:22;19.6;20
﻿20-12-2024;06:23;19.6;20
﻿20-12-2024;06:24;19.6;20
﻿20-12-2024;06:25;19.6;20
﻿20-12-2024;06:26;19.6;20
﻿20-12-2024;06:27;19.6;20
﻿20-12-2024;06:28;19.6;20
﻿20-12-2024;06:29;19.7;20
﻿20-12-2024;06:30;19.7;20
﻿20-12-2024;06:31;19.7;20
﻿20-12-2024;06:32;19.7;20
﻿20-12-2024;06:33;19.7;20
﻿20-12-2024;06:34;19.7;20
﻿20-12-2024;06:35;19.7;20
﻿20-12-2024;06:36;19.7;20
﻿20-12-2024;06:37;19.7;20
﻿20-12-2024;06:38;19.7;20
﻿20-12-2024;06:39;19.7;20
﻿20-12-2024;06:40;19.7;10
﻿20-12-2024;06:41;19.7;10
﻿20-12-2024;06:42;19.7;10
﻿20-12-2024;06:43;19.7;10
﻿20-12-2024;06:44;19.6;10
﻿20-12-2024;06:45;19.6;10
﻿20-12-2024;06:46;19.7;10
﻿20-12-2024;06:47;19.6;10
﻿20-12-2024;06:48;19.7;10
﻿20-12-2024;06:49;19.6;10
﻿20-12-2024;06:50;19.7;10
﻿20-12-2024;06:51;19.7;10
﻿20-12-2024;06:52;19.7;10
﻿20-12-2024;06:53;19.7;10
﻿20-12-2024;06:54;19.7;10
﻿20-12-2024;06:55;19.6;10
﻿20-12-2024;06:56;19.7;10
﻿20-12-2024;06:57;19.7;10
﻿20-12-2024;06:58;19.7;10
﻿20-12-2024;06:59;19.7;10
﻿20-12-2024;07:00;19.7;10
﻿20-12-2024;07:01;19.7;10
﻿20-12-2024;07:02;19.7;10
﻿20-12-2024;07:03;19.7;10
﻿20-12-2024;07:04;19.7;10
﻿20-12-2024;07:05;19.7;10
﻿20-12-2024;07:06;19.7;10
﻿20-12-2024;07:07;19.7;10
﻿20-12-2024;07:08;19.7;10
﻿20-12-2024;07:09;19.7;10
﻿20-12-2024;07:10;19.7;10
﻿20-12-2024;07:11;19.7;10
﻿20-12-2024;07:12;19.7;10
﻿20-12-2024;07:13;19.7;10
﻿20-12-2024;07:14;19.7;10
﻿20-12-2024;07:15;19.7;10
﻿20-12-2024;07:16;19.7;10
﻿20-12-2024;07:17;19.7;10
﻿20-12-2024;07:18;19.7;10
﻿20-12-2024;07:19;19.7;10
﻿20-12-2024;07:20;19.7;10
﻿20-12-2024;07:21;19.7;10
﻿20-12-2024;07:22;19.7;10
﻿20-12-2024;07:23;19.7;10
﻿20-12-2024;07:24;19.7;10
﻿20-12-2024;07:25;19.7;10
﻿20-12-2024;07:26;19.7;10
﻿20-12-2024;07:27;19.7;10
﻿20-12-2024;07:28;19.7;10
﻿20-12-2024;07:29;19.7;10
﻿20-12-2024;07:30;19.7;10
﻿20-12-2024;07:31;19.7;10
﻿20-12-2024;07:32;19.8;10
﻿20-12-2024;07:33;19.8;10
﻿20-12-2024;07:34;19.8;10
﻿20-12-2024;07:35;19.8;10
﻿20-12-2024;07:36;19.8;10
﻿20-12-2024;07:37;19.7;10
﻿20-12-2024;07:38;19.8;10
﻿20-12-2024;07:39;19.7;10
﻿20-12-2024;07:40;19.7;10
﻿20-12-2024;07:41;19.7;10
﻿20-12-2024;07:42;19.7;10
﻿20-12-2024;07:43;19.7;10
﻿20-12-2024;07:44;19.7;10
﻿20-12-2024;07:45;19.7;10
﻿20-12-2024;07:46;19.7;10
﻿20-12-2024;07:47;19.7;10
﻿20-12-2024;07:48;19.7;10
﻿20-12-2024;07:49;19.7;10
﻿20-12-2024;07:50;19.7;10
﻿20-12-2024;07:51;19.8;10
﻿20-12-2024;07:52;19.8;10
﻿20-12-2024;07:53;19.7;10
﻿20-12-2024;07:54;19.7;10
﻿20-12-2024;07:55;19.8;10
﻿20-12-2024;07:56;19.8;10
﻿20-12-2024;07:57;19.8;10
﻿20-12-2024;07:58;19.8;10
﻿20-12-2024;07:59;19.8;10
﻿20-12-2024;08:00;19.8;10
﻿20-12-2024;08:01;19.8;10
﻿20-12-2024;08:02;19.8;10
﻿20-12-2024;08:03;19.8;10
﻿20-12-2024;08:04;19.8;10
﻿20-12-2024;08:05;19.8;10
﻿20-12-2024;08:06;19.8;10
﻿20-12-2024;08:07;19.8;10
﻿20-12-2024;08:08;19.8;10
﻿20-12-2024;08:09;19.8;10
﻿20-12-2024;08:10;19.8;10
﻿20-12-2024;08:11;19.8;10
﻿20-12-2024;08:12;19.8;10
﻿20-12-2024;08:13;19.8;10
﻿20-12-2024;08:14;19.8;10
﻿20-12-2024;08:15;19.8;10
﻿20-12-2024;08:16;19.8;10
﻿20-12-2024;08:17;19.8;10
﻿20-12-2024;08:18;19.8;10
﻿20-12-2024;08:19;19.8;10
﻿20-12-2024;08:20;19.8;10
﻿20-12-2024;08:21;19.8;10
﻿20-12-2024;08:22;19.8;10
﻿20-12-2024;08:23;19.8;10
﻿20-12-2024;08:24;19.8;10
﻿20-12-2024;08:25;19.8;10
﻿20-12-2024;08:26;19.8;10
﻿20-12-2024;08:27;19.8;10
﻿20-12-2024;08:28;19.8;10
﻿20-12-2024;08:29;19.8;10
﻿20-12-2024;08:30;19.8;10
﻿20-12-2024;08:31;19.8;10
﻿20-12-2024;08:32;19.8;10
﻿20-12-2024;08:33;19.8;10
﻿20-12-2024;08:34;19.8;10
﻿20-12-2024;08:35;19.8;10
﻿20-12-2024;08:36;19.8;10
﻿20-12-2024;08:37;19.8;10
﻿20-12-2024;08:38;19.8;10
﻿20-12-2024;08:39;19.8;10
﻿20-12-2024;08:40;19.8;10
﻿20-12-2024;08:41;19.8;10
﻿20-12-2024;08:42;19.8;10
﻿20-12-2024;08:43;19.8;10
﻿20-12-2024;08:44;19.8;10
﻿20-12-2024;08:45;19.8;10
﻿20-12-2024;08:46;19.8;10
﻿20-12-2024;08:47;19.8;10
﻿20-12-2024;08:48;19.8;10
﻿20-12-2024;08:49;19.8;10
﻿20-12-2024;08:50;19.8;10
﻿20-12-2024;08:51;19.8;10
﻿20-12-2024;08:52;19.8;10
﻿20-12-2024;08:53;19.8;10
﻿20-12-2024;08:54;19.8;10
﻿20-12-2024;08:55;19.8;10
﻿20-12-2024;08:56;19.8;10
﻿20-12-2024;08:57;19.8;10
﻿20-12-2024;08:58;19.8;10
﻿20-12-2024;08:59;19.8;10
﻿20-12-2024;09:00;19.8;10
﻿20-12-2024;09:01;19.8;10
﻿20-12-2024;09:02;19.8;10
﻿20-12-2024;09:03;19.8;10
﻿20-12-2024;09:04;19.8;10
﻿20-12-2024;09:05;19.8;10
﻿20-12-2024;09:06;19.8;10
﻿20-12-2024;09:07;19.8;10
﻿20-12-2024;09:08;19.8;10
﻿20-12-2024;09:09;19.8;10
﻿20-12-2024;09:10;19.8;10
﻿20-12-2024;09:11;19.8;10
﻿20-12-2024;09:12;19.8;10
﻿20-12-2024;09:13;19.8;10
﻿20-12-2024;09:14;19.8;10
﻿20-12-2024;09:15;19.8;10
﻿20-12-2024;09:16;19.9;10
﻿20-12-2024;09:17;19.9;10
﻿20-12-2024;09:18;19.8;10
﻿20-12-2024;09:19;19.9;10
﻿20-12-2024;09:20;19.8;10
﻿20-12-2024;09:21;19.9;10
﻿20-12-2024;09:22;19.9;10
﻿20-12-2024;09:23;19.9;10
﻿20-12-2024;09:24;19.8;10
﻿20-12-2024;09:25;19.8;10
﻿20-12-2024;09:26;19.9;10
﻿20-12-2024;09:27;19.8;10
﻿20-12-2024;09:28;19.8;10
﻿20-12-2024;09:29;19.8;10
﻿20-12-2024;09:30;19.8;10
﻿20-12-2024;09:31;19.9;10
﻿20-12-2024;09:32;19.9;10
﻿20-12-2024;09:33;19.9;10
﻿20-12-2024;09:34;19.9;10
﻿20-12-2024;09:35;19.9;10
﻿20-12-2024;09:36;19.9;10
﻿20-12-2024;09:37;19.9;10
﻿20-12-2024;09:38;19.9;10
﻿20-12-2024;09:39;19.9;10
﻿20-12-2024;09:40;19.9;10
﻿20-12-2024;09:41;19.9;10
﻿20-12-2024;09:42;19.9;10
﻿20-12-2024;09:43;19.9;10
﻿20-12-2024;09:44;19.9;10
﻿20-12-2024;09:45;19.9;10
﻿20-12-2024;09:46;19.9;10
﻿20-12-2024;09:47;19.9;10
﻿20-12-2024;09:48;19.9;10
﻿20-12-2024;09:49;19.9;10
﻿20-12-2024;09:50;19.9;10
﻿20-12-2024;09:51;19.9;10
﻿20-12-2024;09:52;19.9;10
﻿20-12-2024;09:53;19.9;10
﻿20-12-2024;09:54;19.9;10
﻿20-12-2024;09:55;19.9;10
﻿20-12-2024;09:56;19.9;10
﻿20-12-2024;09:57;19.9;10
﻿20-12-2024;09:58;19.9;10
﻿20-12-2024;09:59;19.9;10
﻿20-12-2024;10:00;19.9;10
﻿20-12-2024;10:01;19.9;10
﻿20-12-2024;10:02;19.9;10
﻿20-12-2024;10:03;19.9;10
﻿20-12-2024;10:04;19.9;10
﻿20-12-2024;10:05;19.9;10
﻿20-12-2024;10:06;19.9;10
﻿20-12-2024;10:07;19.9;10
﻿20-12-2024;10:08;19.9;10
﻿20-12-2024;10:09;19.9;10
﻿20-12-2024;10:10;19.9;10
﻿20-12-2024;10:11;19.9;10
﻿20-12-2024;10:12;19.9;10
﻿20-12-2024;10:13;19.9;10
﻿20-12-2024;10:14;19.9;10
﻿20-12-2024;10:15;19.9;10
﻿20-12-2024;10:16;19.9;10
﻿20-12-2024;10:17;19.9;10
﻿20-12-2024;10:18;19.9;10
﻿20-12-2024;10:19;19.9;10
﻿20-12-2024;10:20;19.9;10
﻿20-12-2024;10:21;19.9;10
﻿20-12-2024;10:22;19.9;10
﻿20-12-2024;10:23;19.9;10
﻿20-12-2024;10:24;19.9;10
﻿20-12-2024;10:25;20;10
﻿20-12-2024;10:26;20;10
﻿20-12-2024;10:27;20;10
﻿20-12-2024;10:28;19.9;10
﻿20-12-2024;10:29;19.9;10
﻿20-12-2024;10:30;19.9;10
﻿20-12-2024;10:31;19.9;10
﻿20-12-2024;10:32;19.9;10
﻿20-12-2024;10:33;20;10
﻿20-12-2024;10:34;20;10
﻿20-12-2024;10:35;20;10
﻿20-12-2024;10:36;20;10
﻿20-12-2024;10:37;20;10
﻿20-12-2024;10:38;20;10
﻿20-12-2024;10:39;20;10
﻿20-12-2024;10:40;20;10
﻿20-12-2024;10:41;20;10
﻿20-12-2024;10:42;20;10
﻿20-12-2024;10:43;19.9;10
﻿20-12-2024;10:44;20;10
﻿20-12-2024;10:45;19.9;10
﻿20-12-2024;10:46;20;10
﻿20-12-2024;10:47;20;10
﻿20-12-2024;10:48;20;10
﻿20-12-2024;10:49;20;10
﻿20-12-2024;10:50;20;10
﻿20-12-2024;10:51;20;10
﻿20-12-2024;10:52;20;10
﻿20-12-2024;10:53;20;10
﻿20-12-2024;10:54;20;10
﻿20-12-2024;10:55;20;10
﻿20-12-2024;10:56;20;10
﻿20-12-2024;10:57;20;10
﻿20-12-2024;10:58;20;10
﻿20-12-2024;10:59;20;10
﻿20-12-2024;11:00;20;10
﻿20-12-2024;11:01;20;10
﻿20-12-2024;11:02;20;10
﻿20-12-2024;11:03;20;10
﻿20-12-2024;11:04;20;10
﻿20-12-2024;11:05;20;10
﻿20-12-2024;11:06;20;10
﻿20-12-2024;11:07;20;10
﻿20-12-2024;11:08;20.1;10
﻿20-12-2024;11:09;20.1;10
﻿20-12-2024;11:10;20;10
﻿20-12-2024;11:11;20;10
﻿20-12-2024;11:12;20;10
﻿20-12-2024;11:13;20.1;10
﻿20-12-2024;11:14;20.1;10
﻿20-12-2024;11:15;20.1;10
﻿20-12-2024;11:16;20;10
﻿20-12-2024;11:17;20;10
﻿20-12-2024;11:18;20.1;10
﻿20-12-2024;11:19;20;10
﻿20-12-2024;11:20;20.1;10
﻿20-12-2024;11:21;20;10
﻿20-12-2024;11:22;20.1;10
﻿20-12-2024;11:23;20.1;10
﻿20-12-2024;11:24;20;10
﻿20-12-2024;11:25;20;10
﻿20-12-2024;11:26;20;10
﻿20-12-2024;11:27;20;10
﻿20-12-2024;11:28;20.1;10
﻿20-12-2024;11:29;20;10
﻿20-12-2024;11:30;20;10
﻿20-12-2024;11:31;20.1;10
﻿20-12-2024;11:32;20.1;10
﻿20-12-2024;11:33;20;10
﻿20-12-2024;11:34;20.1;10
﻿20-12-2024;11:35;20.1;10
﻿20-12-2024;11:36;20;10
﻿20-12-2024;11:37;20.1;10
﻿20-12-2024;11:38;20;10
﻿20-12-2024;11:39;20;10
﻿20-12-2024;11:40;20.1;10
﻿20-12-2024;11:41;20;10
